strike,call_open_interest,put_open_interest,call_delta,put_delta,call_gamma,put_gamma,net_delta,net_gamma
540.0,21278.0,0.0,2099703.88,0.0,1660.37,-0.0,2099703.88,1660.37
550.0,19529.0,0.0,1914583.73,0.0,3341.07,-0.0,1914583.73,3341.07
555.0,9479.0,21663.0,926479.34,-109593.12,2029.6,-7842.01,816886.2200000001,-5812.41
557.0,1626.0,11374.0,157614.05,-62659.37,443.5,-4492.73,94954.68,-4049.23
560.0,37872.0,12184.0,3688712.85,-74712.29,9036.9,-5458.43,3614000.56,3578.47
563.0,5716.0,12237.0,554317.94,-67791.53,1832.36,-5735.91,486526.4099999999,-3903.55
565.0,8281.0,12843.0,797766.1699999999,-91718.87,3041.6800000000003,-7060.2,706047.2999999999,-4018.52
568.0,6978.0,12724.0,672303.51,-102599.39,2756.42,-8053.19,569704.12,-5296.77
570.0,16062.0,32504.0,1523497.23,-297970.8,7612.6,-22976.18,1225526.43,-15363.58
571.0,16977.0,4405.0,1642083.6599999997,-41042.66,5634.79,-3244.01,1601040.9999999998,2390.78
572.0,29642.0,2180.0,2776608.6,-20160.83,17159.840000000004,-1667.02,2756447.77,15492.820000000003
575.0,27312.0,43005.0,2558666.14,-505137.48,16931.22,-39167.4,2053528.66,-22236.18
577.0,12546.0,9115.0,1211076.2400000002,-86863.43,4658.75,-8314.130000000001,1124212.8100000003,-3655.380000000001
578.0,9214.0,6762.0,862292.71,-66157.09999999999,5679.450000000001,-6568.16,796135.61,-888.7099999999991
579.0,9730.0,6953.0,915838.95,-67688.86,6028.58,-7137.84,848150.09,-1109.2600000000002
580.0,135417.0,57146.0,12909984.71,-538601.11,83781.33999999997,-61672.24999999999,12371383.6,22109.08999999997
581.0,11977.0,9140.0,1110946.74,-100868.42,8992.400000000001,-10790.04,1010078.32,-1797.6399999999994
582.0,11916.0,12846.0,1111070.4,-149968.11,8796.07,-16214.67,961102.2900000002,-7418.6
583.0,15203.0,11454.0,1362282.77,-145910.2,16456.0,-15637.319999999998,1216372.57,818.6800000000021
584.0,17106.0,18996.0,1544358.91,-209914.07,18947.33,-28248.38,1334444.84,-9301.05
585.0,58899.0,60842.0,5247047.95,-788607.33,86575.8,-99550.29,4458440.62,-12974.48999999999
586.0,23831.0,7771.0,2002790.82,-105667.81,34421.25,-13732.19,1897123.01,20689.06
587.0,13365.0,8067.0,1186170.01,-122681.05,16766.42,-15067.61,1063488.96,1698.8099999999977
588.0,28895.0,27676.0,2627260.67,-253285.72,26713.68,-52534.04,2373974.95,-25820.36
589.0,17103.0,5804.0,1549136.72,-99501.87,20059.55,-13310.240000000002,1449634.85,6749.309999999998
590.0,103014.0,48944.0,8152823.07,-1099314.5799999998,226551.75,-116361.22,7053508.49,110190.53
591.0,19544.0,10045.0,1694633.9300000002,-150058.17,29237.74,-26556.01,1544575.7600000002,2681.729999999996
592.0,29910.0,13208.0,2394979.66,-284406.66,49848.71000000001,-39625.21000000001,2110573.0,10223.5
593.0,17221.0,14116.0,1437785.8299999998,-340490.80000000005,33710.79,-47005.57,1097295.0299999998,-13294.78
594.0,61069.0,10572.0,4553836.48,-276952.24,193750.97,-42858.29,4276884.24,150892.68
595.0,70635.0,14082.0,5117424.73,-437230.68,188424.16,-61785.75999999999,4680194.05,126638.40000000002
596.0,30250.0,8412.0,2451203.16,-270938.39,99973.24,-52646.87,2180264.77,47326.36999999999
597.0,32152.0,7809.0,2423899.8700000006,-321246.93000000005,103320.76,-37181.62,2102652.9400000004,66139.14000000001
598.0,26027.0,6065.0,1748376.1899999997,-190432.66,1210991.03,-319499.05,1557943.5299999998,891491.98
599.0,26971.0,2567.0,657628.34,-175975.8,427879.95,-53759.73,481652.54,374120.22
600.0,120153.0,15413.0,5654894.5,-829555.46,451216.91,-54276.17,4825339.04,396940.7400000001
601.0,24267.0,438.0,883002.5,-29481.24,127718.48,-2512.1900000000005,853521.26,125206.29
602.0,14172.0,6058.0,408417.79,-337206.71,68951.34999999999,-15798.27,71211.07999999996,53153.07999999999
603.0,19944.0,442.0,510938.72,-33500.64,85167.91,-1758.14,477438.08,83409.77
605.0,32751.0,6633.0,1007608.16,-466980.14,98059.35,-20256.230000000003,540628.02,77803.12
610.0,19759.0,585.0,337865.67,-46269.94,40729.33,-1227.66,291595.73,39501.67
620.0,21454.0,35.0,184718.81,-2937.9,23180.73,-43.03,181780.91,23137.7
