strike,call_open_interest,put_open_interest,call_delta,put_delta,call_gamma,put_gamma,net_delta,net_gamma
260.0,1041.0,0.0,103981.33,0.0,2.08,-0.0,103981.33,2.08
265.0,173.0,0.0,17281.14,0.0,0.35,-0.0,17281.14,0.35
270.0,154.0,0.0,15383.98,0.0,0.31,-0.0,15383.98,0.31
275.0,52.0,0.0,5194.02,0.0,0.1,-0.0,5194.02,0.1
280.0,34.0,0.0,3396.26,0.0,0.07,-0.0,3396.26,0.07
285.0,316.0,0.0,31567.45,0.0,0.63,-0.0,31567.45,0.63
290.0,359.0,0.0,35858.36,0.0,1.08,-0.0,35858.36,1.08
295.0,476.0,0.0,47548.12,0.0,1.43,-0.0,47548.12,1.43
300.0,915.0,0.0,91462.4,0.0,0.73,-0.0,91462.4,0.73
305.0,421.0,0.0,42051.16,0.0,1.26,-0.0,42051.16,1.26
310.0,468.0,0.0,46739.94,0.0,1.39,-0.0,46739.94,1.39
315.0,386.0,0.0,38552.52,0.0,1.16,-0.0,38552.52,1.16
320.0,105.0,0.0,10486.16,0.0,0.3,-0.0,10486.16,0.3
325.0,33.0,0.0,3296.62,0.0,0.08,-0.0,3296.62,0.08
330.0,56.0,0.0,5592.41,0.0,0.21,-0.0,5592.41,0.21
335.0,54.0,0.0,5393.1,0.0,0.2,-0.0,5393.1,0.2
340.0,426.0,0.0,42440.47,0.0,3.63,-0.0,42440.47,3.63
345.0,423.0,0.0,42149.29,0.0,3.4299999999999997,-0.0,42149.29,3.4299999999999997
350.0,387.0,0.0,38571.63,0.0,3.12,-0.0,38571.63,3.12
355.0,452.0,0.0,45034.08,0.0,4.03,-0.0,45034.08,4.03
360.0,373.0,0.0,37193.67,0.0,2.76,-0.0,37193.67,2.76
365.0,273.0,0.0,27196.47,0.0,2.59,-0.0,27196.47,2.59
370.0,447.0,0.0,44579.58,0.0,3.52,-0.0,44579.58,3.52
375.0,66.0,0.0,6585.8,0.0,0.44,-0.0,6585.8,0.44
380.0,120.0,0.0,11961.03,0.0,1.1,-0.0,11961.03,1.1
385.0,147.0,0.0,14649.55,0.0,1.41,-0.0,14649.55,1.41
390.0,165.0,0.0,16434.77,0.0,1.88,-0.0,16434.77,1.88
395.0,121.0,0.0,12072.310000000001,0.0,0.9500000000000001,-0.0,12072.310000000001,0.9500000000000001
400.0,229.0,0.0,22850.94,0.0,1.6800000000000002,-0.0,22850.94,1.6800000000000002
405.0,89.0,0.0,8881.38,0.0,0.6900000000000001,-0.0,8881.38,0.6900000000000001
410.0,86.0,0.0,8569.7,0.0,1.0,-0.0,8569.7,1.0
415.0,58.0,0.0,5786.4800000000005,0.0,0.52,-0.0,5786.4800000000005,0.52
420.0,98.0,0.0,9768.460000000001,0.0,1.1400000000000001,-0.0,9768.460000000001,1.1400000000000001
425.0,145.0,0.0,14466.050000000001,0.0,1.37,-0.0,14466.050000000001,1.37
430.0,152.0,0.0,15163.2,0.0,1.51,-0.0,15163.2,1.51
435.0,145.0,0.0,14462.32,0.0,1.57,-0.0,14462.32,1.57
440.0,280.0,0.0,27904.56,0.0,3.81,-0.0,27904.56,3.81
445.0,306.0,0.0,30473.69,0.0,5.03,-0.0,30473.69,5.03
450.0,1811.0,0.0,180177.76,0.0,37.85,-0.0,180177.76,37.85
455.0,597.0,0.0,59218.74,0.0,18.34,-0.0,59218.74,18.34
460.0,419.0,0.0,41568.7,0.0,12.91,-0.0,41568.7,12.91
461.0,25.0,0.0,2472.15,0.0,1.03,-0.0,2472.15,1.03
462.0,4.0,0.0,395.55,0.0,0.17,-0.0,395.55,0.17
463.0,917.0,0.0,90679.38,0.0,38.51,-0.0,90679.38,38.51
464.0,1.0,0.0,98.86,0.0,0.04,-0.0,98.86,0.04
465.0,492.0,0.0,48916.61,0.0,12.46,-0.0,48916.61,12.46
466.0,277.0,0.0,27375.36,0.0,12.46,-0.0,27375.36,12.46
467.0,42.0,0.0,4150.78,0.0,1.89,-0.0,4150.78,1.89
468.0,2.0,0.0,197.59,0.0,0.09,-0.0,197.59,0.09
469.0,63.0,0.0,6224.21,0.0,2.96,-0.0,6224.21,2.96
470.0,697.0,0.0,69378.43,0.0,15.64,-0.0,69378.43,15.64
471.0,3.0,0.0,296.29,0.0,0.15,-0.0,296.29,0.15
472.0,405.0,0.0,39987.27,0.0,20.25,-0.0,39987.27,20.25
473.0,2.0,0.0,197.47,0.0,0.1,-0.0,197.47,0.1
474.0,3.0,0.0,296.1,0.0,0.16,-0.0,296.1,0.16
475.0,551.0,0.0,54755.06,0.0,16.18,-0.0,54755.06,16.18
476.0,408.0,0.0,40256.14,0.0,21.62,-0.0,40256.14,21.62
477.0,215.0,0.0,21212.76,0.0,11.61,-0.0,21212.76,11.61
478.0,5.0,0.0,493.16,0.0,0.28,-0.0,493.16,0.28
479.0,8.0,0.0,788.78,0.0,0.46,-0.0,788.78,0.46
480.0,614.0,0.0,61018.95,0.0,18.240000000000002,-0.0,61018.95,18.240000000000002
481.0,4.0,0.0,394.38,0.0,0.23,-0.0,394.38,0.23
482.0,6.0,0.0,591.36,0.0,0.36,-0.0,591.36,0.36
483.0,15.0,0.0,1478.36,0.0,0.9,-0.0,1478.36,0.9
484.0,262.0,0.0,25803.33,0.0,16.51,-0.0,25803.33,16.51
485.0,1078.0,0.0,107167.53,0.0,29.33,-0.0,107167.53,29.33
486.0,20.0,0.0,1968.98,0.0,1.3,-0.0,1968.98,1.3
487.0,239.0,0.0,23528.59,0.0,15.77,-0.0,23528.59,15.77
488.0,133.0,0.0,13102.13,0.0,8.51,-0.0,13102.13,8.51
489.0,138.0,0.0,13579.75,0.0,9.52,-0.0,13579.75,9.52
490.0,1593.0,0.0,157492.62,0.0,82.67999999999999,-0.0,157492.62,82.67999999999999
491.0,91.0,0.0,8947.76,0.0,6.55,-0.0,8947.76,6.55
492.0,211.0,0.0,20746.79,0.0,15.4,-0.0,20746.79,15.4
493.0,101.0,0.0,9930.42,0.0,7.47,-0.0,9930.42,7.47
494.0,135.0,0.0,13267.8,0.0,10.26,-0.0,13267.8,10.26
495.0,2748.0,0.0,270805.48,0.0,182.84,-0.0,270805.48,182.84
496.0,157.0,0.0,15437.77,0.0,11.78,-0.0,15437.77,11.78
497.0,170.0,0.0,16700.04,0.0,13.45,-0.0,16700.04,13.45
498.0,93.0,0.0,9143.68,0.0,7.08,-0.0,9143.68,7.08
499.0,149.0,0.0,14653.689999999999,0.0,11.23,-0.0,14653.689999999999,11.23
500.0,2245.0,0.0,222575.94999999998,0.0,105.02,-0.0,222575.94999999998,105.02
501.0,67.0,0.0,6586.450000000001,0.0,5.300000000000001,-0.0,6586.450000000001,5.300000000000001
502.0,169.0,0.0,16590.12,0.0,14.3,-0.0,16590.12,14.3
503.0,154.0,0.0,15113.13,0.0,13.299999999999999,-0.0,15113.13,13.299999999999999
504.0,260.0,0.0,25488.239999999998,0.0,23.79,-0.0,25488.239999999998,23.79
505.0,1170.0,0.0,116188.84,0.0,50.16,-0.0,116188.84,50.16
506.0,134.0,0.0,13314.38,0.0,5.609999999999999,-0.0,13314.38,5.609999999999999
507.0,85.0,0.0,8405.26,0.0,5.13,-0.0,8405.26,5.13
508.0,72.0,0.0,7109.58,0.0,4.8,-0.0,7109.58,4.8
509.0,605.0,0.0,59912.54,0.0,34.05,-0.0,59912.54,34.05
510.0,64465.0,0.0,6404232.84,0.0,2948.53,-0.0,6404232.84,2948.53
511.0,236.0,0.0,23136.08,0.0,23.0,-0.0,23136.08,23.0
512.0,489.0,0.0,47771.91,0.0,54.79,-0.0,47771.91,54.79
513.0,101.0,0.0,9881.69,0.0,10.84,-0.0,9881.69,10.84
514.0,250.0,0.0,24394.22,0.0,29.66,-0.0,24394.22,29.66
515.0,1412.0,0.0,139649.2,0.0,94.43,-0.0,139649.2,94.43
516.0,420.0,0.0,40975.369999999995,0.0,51.07,-0.0,40975.369999999995,51.07
517.0,122.0,0.0,11905.17,0.0,14.940000000000001,-0.0,11905.17,14.940000000000001
518.0,292.0,0.0,28698.07,0.0,27.86,-0.0,28698.07,27.86
519.0,128.0,0.0,12494.85,0.0,15.68,-0.0,12494.85,15.68
520.0,39102.0,0.0,3882788.55,0.0,2176.1600000000003,-0.0,3882788.55,2176.1600000000003
521.0,85.0,0.0,8304.82,0.0,10.420000000000002,-0.0,8304.82,10.420000000000002
522.0,257.0,0.0,25078.32,0.0,32.989999999999995,-0.0,25078.32,32.989999999999995
523.0,147.0,0.0,14350.26,0.0,18.9,-0.0,14350.26,18.9
524.0,199.0,0.0,19507.690000000002,0.0,22.46,-0.0,19507.690000000002,22.46
525.0,7159.0,0.0,703538.19,0.0,739.62,-0.0,703538.19,739.62
526.0,358.0,0.0,35434.21,0.0,27.110000000000003,-0.0,35434.21,27.110000000000003
527.0,658.0,0.0,65198.26,0.0,47.53,-0.0,65198.26,47.53
528.0,728.0,0.0,71728.2,0.0,71.53,-0.0,71728.2,71.53
529.0,2044.0,0.0,200713.88,0.0,234.05,-0.0,200713.88,234.05
530.0,3939.0,0.0,388508.73,0.0,381.66999999999996,-0.0,388508.73,381.66999999999996
531.0,1127.0,0.0,110948.35,0.0,121.03,-0.0,110948.35,121.03
532.0,1174.0,0.0,115884.62,0.0,115.14,-0.0,115884.62,115.14
533.0,3657.0,0.0,355234.61,0.0,610.7,-0.0,355234.61,610.7
534.0,924.0,0.0,91121.59,0.0,96.86,-0.0,91121.59,96.86
535.0,2479.0,0.0,244279.49,0.0,265.8,-0.0,244279.49,265.8
536.0,1338.0,0.0,131340.5,0.0,173.21,-0.0,131340.5,173.21
537.0,4079.0,0.0,403538.37,0.0,400.17,-0.0,403538.37,400.17
538.0,816.0,0.0,80512.64000000001,0.0,92.82,-0.0,80512.64000000001,92.82
539.0,1290.0,0.0,127202.40999999999,0.0,152.28,-0.0,127202.40999999999,152.28
540.0,21278.0,0.0,2099703.88,0.0,1660.37,-0.0,2099703.88,1660.37
541.0,941.0,0.0,92710.5,0.0,118.22999999999999,-0.0,92710.5,118.22999999999999
542.0,1731.0,0.0,170158.79,0.0,241.62,-0.0,170158.79,241.62
543.0,1197.0,0.0,117667.18,0.0,171.07999999999998,-0.0,117667.18,171.07999999999998
544.0,1200.0,0.0,117824.86,0.0,179.89,-0.0,117824.86,179.89
545.0,5713.0,0.0,561796.7799999999,0.0,838.9200000000001,-0.0,561796.7799999999,838.9200000000001
546.0,1551.0,0.0,152307.5,0.0,246.6,-0.0,152307.5,246.6
547.0,1804.0,0.0,176875.9,0.0,305.79,-0.0,176875.9,305.79
548.0,1613.0,0.0,157269.18,0.0,315.98,-0.0,157269.18,315.98
549.0,1286.0,0.0,126077.44,0.0,228.63,-0.0,126077.44,228.63
550.0,19529.0,0.0,1914583.73,0.0,3341.07,-0.0,1914583.73,3341.07
551.0,1492.0,0.0,144943.22,0.0,338.68,-0.0,144943.22,338.68
552.0,2186.0,0.0,212109.46000000002,0.0,524.96,-0.0,212109.46000000002,524.96
553.0,1989.0,0.0,194568.2,0.0,419.38,-0.0,194568.2,419.38
554.0,2821.0,0.0,271590.01,0.0,802.57,-0.0,271590.01,802.57
555.0,9479.0,21663.0,926479.3400000001,-109593.12,2029.6,-7842.01,816886.2200000001,-5812.41
556.0,1496.0,1391.0,145777.52,-7306.92,354.88,-524.41,138470.59999999998,-169.52999999999997
557.0,1626.0,11374.0,157614.05,-62659.37,443.5,-4492.73,94954.68,-4049.2299999999996
557.5,54.0,0.0,5400.0,0.0,0.0,-0.0,5400.0,0.0
558.0,2358.0,1117.0,229842.11,-6379.19,591.13,-460.2,223462.91999999998,130.93
559.0,1978.0,1033.0,191872.06,-6060.61,559.56,-442.12,185811.45,117.43999999999994
560.0,37872.0,12184.0,3688712.85,-74712.29,9036.9,-5458.43,3614000.56,3578.4699999999993
561.0,3944.0,1894.0,376590.53,-12146.22,1405.3899999999999,-888.29,364444.31000000006,517.0999999999999
562.0,3177.0,1125.0,306379.27999999997,-7530.75,1065.5700000000002,-552.38,298848.52999999997,513.1900000000002
562.5,105.0,0.0,10500.0,0.0,0.0,-0.0,10500.0,0.0
563.0,5716.0,12237.0,554317.94,-67791.53,1832.3600000000001,-5735.91,486526.4099999999,-3903.5499999999997
564.0,3445.0,3588.0,332682.88,-21682.43,1173.01,-1793.31,311000.45,-620.3
565.0,8281.0,12843.0,797766.1699999999,-91718.87,3041.6800000000003,-7060.2,706047.2999999999,-4018.5199999999995
566.0,5103.0,2171.0,494402.96,-15263.65,1659.51,-1224.35,479139.31,435.1600000000001
567.0,6084.0,4264.0,581411.98,-30825.25,2546.98,-2511.1800000000003,550586.73,35.79999999999973
567.5,607.0,0.0,60700.0,0.0,0.0,-0.0,60700.0,0.0
568.0,6978.0,12724.0,672303.51,-102599.39,2756.42,-8053.1900000000005,569704.12,-5296.77
569.0,7275.0,2258.0,696083.09,-18767.6,3094.3799999999997,-1494.71,677315.49,1599.6699999999996
570.0,16062.0,32504.0,1523497.23,-297970.8,7612.6,-22976.18,1225526.43,-15363.58
571.0,16977.0,4405.0,1642083.6599999997,-41042.66,5634.79,-3244.01,1601040.9999999998,2390.7799999999997
572.0,29642.0,2180.0,2776608.6,-20160.83,17159.840000000004,-1667.02,2756447.77,15492.820000000003
572.5,2187.0,0.0,218700.0,0.0,0.0,-0.0,218700.0,0.0
573.0,11068.0,4122.0,1067395.17,-41264.06,4486.94,-3348.81,1026131.1099999999,1138.1299999999997
574.0,11509.0,2184.0,1094649.53,-21874.73,5873.7300000000005,-1850.45,1072774.8,4023.2800000000007
575.0,27312.0,43005.0,2558666.14,-505137.48,16931.22,-39167.4,2053528.6600000001,-22236.18
576.0,13204.0,4022.0,1260576.65,-43887.46,6542.23,-3763.8499999999995,1216689.19,2778.38
577.0,12546.0,9115.0,1211076.2400000002,-86863.43,4658.75,-8314.130000000001,1124212.8100000003,-3655.380000000001
577.5,1121.0,0.0,112100.0,0.0,0.0,-0.0,112100.0,0.0
578.0,9214.0,6762.0,862292.71,-66157.09999999999,5679.450000000001,-6568.16,796135.61,-888.7099999999991
579.0,9730.0,6953.0,915838.95,-67688.86,6028.58,-7137.84,848150.09,-1109.2600000000002
580.0,135417.0,57146.0,12909984.709999999,-538601.11,83781.33999999997,-61672.24999999999,12371383.6,22109.089999999975
581.0,11977.0,9140.0,1110946.74,-100868.42,8992.400000000001,-10790.04,1010078.32,-1797.6399999999994
582.0,11916.0,12846.0,1111070.4000000001,-149968.11,8796.07,-16214.67,961102.2900000002,-7418.6
582.5,1632.0,0.0,163200.0,0.0,0.0,-0.0,163200.0,0.0
583.0,15203.0,11454.0,1362282.77,-145910.2,16456.0,-15637.319999999998,1216372.57,818.6800000000021
584.0,17106.0,18996.0,1544358.91,-209914.07,18947.33,-28248.38,1334444.8399999999,-9301.05
585.0,58899.0,60842.0,5247047.95,-788607.33,86575.8,-99550.29,4458440.62,-12974.48999999999
586.0,23831.0,7771.0,2002790.82,-105667.81,34421.25,-13732.19,1897123.01,20689.059999999998
587.0,13365.0,8067.0,1186170.01,-122681.04999999999,16766.42,-15067.61,1063488.96,1698.8099999999977
588.0,28895.0,27676.0,2627260.67,-253285.71999999997,26713.68,-52534.04,2373974.95,-25820.36
589.0,17103.0,5804.0,1549136.72,-99501.87000000001,20059.55,-13310.240000000002,1449634.8499999999,6749.309999999998
590.0,103014.0,48944.0,8152823.07,-1099314.5799999998,226551.75,-116361.21999999999,7053508.49,110190.53000000001
591.0,19544.0,10045.0,1694633.9300000002,-150058.17,29237.739999999998,-26556.010000000002,1544575.7600000002,2681.729999999996
592.0,29910.0,13208.0,2394979.66,-284406.66,49848.71000000001,-39625.21000000001,2110573.0,10223.5
593.0,17221.0,14116.0,1437785.8299999998,-340490.80000000005,33710.79,-47005.57,1097295.0299999998,-13294.779999999999
594.0,61069.0,10572.0,4553836.48,-276952.24,193750.97,-42858.29,4276884.24,150892.68
595.0,70635.0,14082.0,5117424.7299999995,-437230.68,188424.16,-61785.75999999999,4680194.05,126638.40000000002
596.0,30250.0,8412.0,2451203.16,-270938.39,99973.23999999999,-52646.87,2180264.77,47326.36999999999
597.0,32152.0,7809.0,2423899.8700000006,-321246.93000000005,103320.76000000001,-37181.619999999995,2102652.9400000004,66139.14000000001
598.0,26027.0,6065.0,1748376.1899999997,-190432.66,1210991.03,-319499.05,1557943.5299999998,891491.98
599.0,26971.0,2567.0,657628.34,-175975.8,427879.95,-53759.73,481652.54,374120.22000000003
600.0,120153.0,15413.0,5654894.5,-829555.46,451216.91000000003,-54276.17,4825339.04,396940.74000000005
601.0,24267.0,438.0,883002.5,-29481.24,127718.48,-2512.1900000000005,853521.26,125206.29
602.0,14172.0,6058.0,408417.79,-337206.71,68951.34999999999,-15798.27,71211.07999999996,53153.07999999999
603.0,19944.0,442.0,510938.72000000003,-33500.64,85167.91,-1758.14,477438.08,83409.77
604.0,9730.0,388.0,205032.81,-28293.25,37938.799999999996,-1497.13,176739.56,36441.67
605.0,32751.0,6633.0,1007608.16,-466980.14,98059.35,-20256.230000000003,540628.02,77803.12
606.0,5985.0,34.0,127479.41,-2769.65,18226.07,-94.86000000000001,124709.76000000001,18131.21
607.0,3852.0,64.0,80079.41,-4307.65,10313.98,-145.46,75771.76000000001,10168.52
